iter	Passed	Remaining
0	15282	3805444
1	29839	3700048
2	44357	3652105
3	58795	3615951
4	73502	3601638
5	88711	3607582
6	104351	3622484
7	120427	3642928
8	134660	3605910
9	149113	3578724
10	166522	3618075
11	183047	3630441
12	199878	3643936
13	217805	3671586
14	232707	3645758
15	247452	3618986
16	261496	3584036
17	276391	3562380
18	290735	3534730
19	306186	3521149
20	320624	3496336
21	335127	3473138
22	348222	3436808
23	362821	3416569
24	377181	3394634
25	390963	3368297
26	405644	3350319
27	418292	3316461
28	430457	3280380
29	441735	3239396
30	451427	3189118
31	461520	3144107
32	470938	3096776
33	478688	3041079
34	486643	2989380
35	493999	2936551
36	501620	2887707
37	508899	2839123
38	515800	2790611
39	522380	2742495
40	529678	2700068
41	536085	2654900
42	543245	2615158
43	549695	2573573
44	556434	2534867
45	563173	2497550
46	569187	2458407
47	575719	2422820
48	582353	2388836
49	588597	2354389
50	605797	2363799
51	622877	2371725
52	641236	2383465
53	659084	2392234
54	677559	2402256
55	695876	2410716
56	713515	2415938
57	731147	2420349
58	748681	2423698
59	765983	2425613
60	783913	2428846
61	803696	2437016
62	823823	2445318
63	843267	2450745
64	862334	2454338
65	881317	2457005
66	900575	2459781
67	918712	2458907
68	938259	2461230
69	957169	2461292
70	977269	2463821
71	995512	2461128
72	1014281	2459285
73	1031688	2453746
74	1050528	2451233
75	1068411	2446100
76	1082471	2432047
77	1097565	2420272
78	1111327	2405530
79	1126008	2392767
80	1139005	2376443
81	1152105	2360411
82	1164082	2342191
83	1175078	2322177
84	1184173	2298689
85	1192631	2274320
86	1201344	2250795
87	1210069	2227628
88	1218756	2204716
89	1228247	2183550
90	1236267	2160072
91	1244099	2136605
92	1252138	2113824
93	1260527	2091939
94	1268302	2069336
95	1276394	2047549
96	1284166	2025540
97	1291754	2003537
98	1299126	1981496
99	1306496	1959744
100	1331293	1963987
101	1356548	1968325
102	1380613	1970389
103	1405847	1973594
104	1431180	1976392
105	1455950	1977894
106	1480738	1978930
107	1505250	1979125
108	1530295	1979556
109	1554912	1978979
110	1580876	1979656
111	1606227	1979101
112	1629283	1975325
113	1652676	1971613
114	1676070	1967561
115	1701459	1965479
116	1725595	1961573
117	1748238	1955656
118	1771196	1949804
119	1793114	1942541
120	1815627	1935669
121	1836426	1926742
122	1857962	1918384
123	1877507	1907790
124	1894470	1894470
125	1911605	1881262
126	1928276	1867543
127	1943871	1852752
128	1958979	1837492
129	1973348	1821552
130	1986725	1804735
131	1999975	1787857
132	2011806	1769784
133	2024367	1752437
134	2034535	1733122
135	2045656	1714741
136	2054915	1694930
137	2064193	1675287
138	2073852	1656098
139	2083221	1636817
140	2091828	1617087
141	2099943	1597139
142	2107877	1577223
143	2116286	1557822
144	2124813	1538658
145	2132885	1519315
146	2140843	1500046
147	2149393	1481338
148	2157076	1462179
149	2165402	1443601
150	2195098	1439170
151	2226408	1435447
152	2258032	1431562
153	2289908	1427475
154	2321070	1422591
155	2354155	1418529
156	2386481	1413648
157	2417185	1407475
158	2448379	1401274
159	2482411	1396356
160	2516395	1391051
161	2549627	1384982
162	2581061	1377622
163	2612539	1369990
164	2645627	1362898
165	2677076	1354665
166	2708851	1346315
167	2740230	1337493
168	2770940	1328084
169	2800049	1317670
170	2829370	1307136
171	2857387	1295792
172	2882194	1282826
173	2905422	1269035
174	2928560	1255097
175	2950201	1240425
176	2971159	1225393
177	2988851	1208973
178	3006268	1192430
179	3021784	1175138
180	3039652	1158762
181	3055099	1141465
182	3068992	1123620
183	3082650	1105733
184	3095879	1087741
185	3108142	1069468
186	3120757	1051378
187	3132153	1032944
188	3143023	1014415
189	3154296	996093
190	3165096	977699
191	3175691	959323
192	3186630	941129
193	3197237	922913
194	3208055	904836
195	3218948	886853
196	3229792	868929
197	3239590	850801
198	3249539	832796
199	3259452	814863
200	3306846	806146
201	3354414	797088
202	3401436	787524
203	3449116	777741
204	3496182	767454
205	3544109	756994
206	3591741	746110
207	3640225	735045
208	3689273	723733
209	3738012	712002
210	3787073	699980
211	3836039	687591
212	3893447	676326
213	3956749	665621
214	4009754	652750
215	4060029	639078
216	4108845	624847
217	4157775	610315
218	4205723	595330
219	4252055	579825
220	4296296	563767
221	4338204	547160
222	4386008	531041
223	4424823	513595
224	4459011	495445
225	4492886	477120
226	4521645	458140
227	4544996	438552
228	4568019	418901
229	4591187	399233
230	4611447	379296
231	4632700	359433
232	4650459	339303
233	4668615	319221
234	4686169	299117
235	4702372	278954
236	4717898	258787
237	4733101	238643
238	4748679	218558
239	4763334	198472
240	4777218	178402
241	4792370	158425
242	4806443	138457
243	4819817	118520
244	4833536	98643
245	4847211	78816
246	4860978	59040
247	4874776	39312
248	4888867	19634
249	4902172	0
