iter	RMSE
0	1814.544744
1	1813.819524
2	1813.169663
3	1812.4246
4	1811.667412
5	1810.747409
6	1810.001286
7	1809.379861
8	1808.56993
9	1807.734235
10	1806.989675
11	1806.27883
12	1805.640498
13	1804.901624
14	1804.007216
15	1803.344206
16	1802.813225
17	1802.05009
18	1801.315102
19	1800.821793
20	1800.272947
21	1799.626061
22	1799.021414
23	1798.464999
24	1797.82884
25	1797.135943
26	1796.412545
27	1795.724243
28	1795.129741
29	1794.367161
30	1793.739288
31	1793.213996
32	1792.706609
33	1792.038151
34	1791.360231
35	1790.766117
36	1790.107422
37	1789.563859
38	1788.990695
39	1788.461774
40	1788.044583
41	1787.527251
42	1786.827062
43	1786.277376
44	1785.788665
45	1785.197117
46	1784.612128
47	1784.005044
48	1783.440475
49	1782.931931
50	1782.241878
51	1781.707062
52	1781.106971
53	1780.449438
54	1779.903078
55	1779.443133
56	1778.836873
57	1778.470137
58	1777.95434
59	1777.492597
60	1776.960249
61	1776.36428
62	1775.718772
63	1775.192506
64	1774.712314
65	1774.18816
66	1773.785831
67	1773.199614
68	1772.631256
69	1772.030626
70	1771.574871
71	1771.010419
72	1770.471152
73	1769.700876
74	1769.074174
75	1768.512281
76	1768.01856
77	1767.61821
78	1767.007305
79	1766.499458
80	1766.160253
81	1765.616491
82	1765.195566
83	1764.640353
84	1764.112649
85	1763.669822
86	1763.236907
87	1762.809549
88	1762.222524
89	1761.694793
90	1761.292711
91	1760.782801
92	1760.391773
93	1759.974752
94	1759.553214
95	1758.937041
96	1758.600258
97	1758.130496
98	1757.759272
99	1757.414475
100	1756.936072
101	1756.270472
102	1755.798136
103	1755.458785
104	1754.754948
105	1754.345125
106	1753.778324
107	1753.29241
108	1752.737565
109	1752.19718
110	1751.657114
111	1751.236703
112	1750.882385
113	1750.366529
114	1750.013663
115	1749.586948
116	1749.115576
117	1748.649219
118	1748.272557
119	1747.873078
120	1747.288286
121	1746.914132
122	1746.533432
123	1746.070638
124	1745.629431
125	1745.204602
126	1744.832888
127	1744.32602
128	1743.919006
129	1743.502042
130	1743.063509
131	1742.423144
132	1742.004013
133	1741.586705
134	1741.068981
135	1740.696295
136	1740.337435
137	1740.129438
138	1739.759048
139	1739.261458
140	1738.982019
141	1738.471615
142	1738.050269
143	1737.666781
144	1737.21734
145	1736.852732
146	1736.394716
147	1736.044522
148	1735.538337
149	1735.147449
150	1734.741966
151	1734.3738
152	1734.079169
153	1733.799628
154	1733.108019
155	1732.725683
156	1732.493422
157	1732.062299
158	1731.807899
159	1731.485941
160	1730.923109
161	1730.576529
162	1730.235506
163	1729.796345
164	1729.363206
165	1728.978129
166	1728.50306
167	1728.226344
168	1727.830358
169	1727.41475
170	1727.087839
171	1726.712989
172	1726.275649
173	1725.944866
174	1725.53686
175	1725.151367
176	1724.59037
177	1724.100023
178	1723.799966
179	1723.381396
180	1722.919985
181	1722.468903
182	1722.161426
183	1721.922805
184	1721.597313
185	1721.071513
186	1720.724797
187	1720.275625
188	1719.86299
189	1719.574712
190	1719.122748
191	1718.909794
192	1718.607361
193	1718.192252
194	1717.925602
195	1717.678291
196	1717.31045
197	1716.886943
198	1716.461058
199	1716.159251
200	1715.843619
201	1715.40334
202	1714.677489
203	1714.263954
204	1713.787902
205	1713.423627
206	1713.150078
207	1712.839059
208	1712.342839
209	1712.179494
210	1711.904494
211	1711.456503
212	1711.228295
213	1710.809311
214	1710.372874
215	1710.035558
216	1709.709839
217	1709.236337
218	1708.911575
219	1708.560339
220	1708.20564
221	1707.791068
222	1707.380337
223	1707.013288
224	1706.6919
225	1706.319119
226	1705.941127
227	1705.613247
228	1705.3669
229	1705.085451
230	1704.545961
231	1704.048029
232	1703.734656
233	1703.330043
234	1702.936228
235	1702.635046
236	1702.20798
237	1701.907239
238	1701.369063
239	1701.107161
240	1700.672926
241	1700.337027
242	1700.020158
243	1699.663514
244	1699.346913
245	1698.994183
246	1698.742622
247	1698.371018
248	1698.003191
249	1697.556296
250	1697.054516
251	1696.712225
252	1696.450426
253	1696.083134
254	1695.685491
255	1695.389992
256	1694.813753
257	1694.462833
258	1694.162441
259	1693.890366
260	1693.489338
261	1692.990151
262	1692.730215
263	1692.343926
264	1691.922921
265	1691.638397
266	1691.337242
267	1690.916975
268	1690.479027
269	1690.248288
270	1689.572416
271	1689.313848
272	1689.091513
273	1688.645711
274	1688.317904
275	1687.924975
276	1687.632459
277	1687.398171
278	1686.99231
279	1686.695851
280	1686.30131
281	1685.994255
282	1685.64726
283	1685.278774
284	1684.835013
285	1684.564251
286	1684.224881
287	1683.852176
288	1683.343161
289	1683.005644
290	1682.596826
291	1682.248972
292	1681.770719
293	1681.459139
294	1681.130948
295	1680.797698
296	1680.29575
297	1680.009906
298	1679.66973
299	1679.378317
300	1679.085439
301	1678.697831
302	1678.277777
303	1677.958858
304	1677.765179
305	1677.419138
306	1677.190124
307	1676.906136
308	1676.494037
309	1676.084413
310	1675.581928
311	1675.252634
312	1675.023482
313	1674.785256
314	1674.463995
315	1674.011363
316	1673.594615
317	1673.33067
318	1672.978695
319	1672.648821
320	1672.272702
321	1671.822059
322	1671.383394
323	1670.992951
324	1670.716415
325	1670.303351
326	1669.965272
327	1669.652652
328	1669.234998
329	1668.743837
330	1668.370781
331	1668.059218
332	1667.683571
333	1667.275949
334	1667.026787
335	1666.666137
336	1666.274129
337	1665.949392
338	1665.554544
339	1665.213846
340	1664.746881
341	1664.323481
342	1663.858693
343	1663.467626
344	1663.153401
345	1662.829965
346	1662.489337
347	1662.186022
348	1661.838152
349	1661.490514
350	1661.072982
351	1660.728958
352	1660.327437
353	1659.924873
354	1659.626826
355	1659.286295
356	1658.915509
357	1658.573992
358	1658.255293
359	1657.718246
360	1657.380235
361	1656.964239
362	1656.603785
363	1656.234651
364	1655.881427
365	1655.327595
366	1654.993752
367	1654.661714
368	1654.415114
369	1654.079347
370	1653.641977
371	1653.385744
372	1653.004214
373	1652.76463
374	1652.449918
375	1652.031196
376	1651.662272
377	1651.387631
378	1650.877263
379	1650.615435
380	1650.379364
381	1650.11345
382	1649.775361
383	1649.423143
384	1649.03316
385	1648.742493
386	1648.425628
387	1648.009734
388	1647.654685
389	1647.35635
390	1646.897551
391	1646.614005
392	1646.319561
393	1646.029229
394	1645.698343
395	1645.311641
396	1645.083104
397	1644.814026
398	1644.493658
399	1644.159857
400	1643.830872
401	1643.426906
402	1643.127798
403	1642.816552
404	1642.373187
405	1642.08086
406	1641.742628
407	1641.346661
408	1641.062495
409	1640.800342
410	1640.414243
411	1639.992128
412	1639.59809
413	1639.105425
414	1638.822993
415	1638.281048
416	1637.89908
417	1637.620692
418	1637.306462
419	1637.026252
420	1636.607988
421	1636.255025
422	1635.875879
423	1635.488157
424	1635.105344
425	1634.714696
426	1634.385254
427	1634.142984
428	1633.586168
429	1633.1789
430	1632.894109
431	1632.512474
432	1632.078401
433	1631.771518
434	1631.223369
435	1630.787043
436	1630.364826
437	1629.980843
438	1629.538173
439	1629.255408
440	1628.747125
441	1628.499374
442	1628.170443
443	1627.703996
444	1627.290219
445	1627.004712
446	1626.649028
447	1626.231363
448	1625.941822
449	1625.630115
450	1625.146485
451	1624.731716
452	1624.281976
453	1623.864303
454	1623.573691
455	1623.210896
456	1622.903203
457	1622.43216
458	1622.004034
459	1621.71311
460	1621.408885
461	1620.943736
462	1620.552873
463	1620.095097
464	1619.755268
465	1619.297609
466	1618.967435
467	1618.55175
468	1618.116391
469	1617.860055
470	1617.494043
471	1617.048156
472	1616.529561
473	1616.119502
474	1615.585112
475	1615.207426
476	1614.77396
477	1614.524517
478	1614.11542
479	1613.690128
480	1613.486125
481	1613.171908
482	1612.704903
483	1612.224726
484	1611.664149
485	1611.300608
486	1610.860892
487	1610.601194
488	1610.282433
489	1610.01644
490	1609.638324
491	1609.38086
492	1608.870267
493	1608.390887
494	1608.11896
495	1607.777165
496	1607.45482
497	1607.112153
498	1606.595388
499	1606.189044
500	1605.74074
501	1605.428897
502	1605.065045
503	1604.708416
504	1604.338246
505	1603.952899
506	1603.543675
507	1603.225107
508	1602.795361
509	1602.409278
510	1602.031433
511	1601.591897
512	1601.069683
513	1600.608351
514	1600.030317
515	1599.60714
516	1599.309916
517	1598.940521
518	1598.59868
519	1598.082812
520	1597.695618
521	1597.296503
522	1596.802949
523	1596.348588
524	1595.808266
525	1595.498343
526	1595.000347
527	1594.617916
528	1594.291373
529	1593.976801
530	1593.433557
531	1593.013933
532	1592.532903
533	1592.050385
534	1591.755609
535	1591.329662
536	1590.820752
537	1590.431608
538	1589.964908
539	1589.413467
540	1589.046547
541	1588.767893
542	1588.263497
543	1587.924539
544	1587.455595
545	1586.916327
546	1586.480772
547	1586.032039
548	1585.565892
549	1585.177699
550	1584.864083
551	1584.462272
552	1583.920354
553	1583.498414
554	1583.198516
555	1582.843529
556	1582.469791
557	1582.046355
558	1581.507325
559	1581.050174
560	1580.728956
561	1580.34872
562	1580.012985
563	1579.6108
564	1579.165775
565	1578.808254
566	1578.422109
567	1577.879063
568	1577.575685
569	1577.160002
570	1576.751267
571	1576.244342
572	1575.892055
573	1575.565362
574	1574.975008
575	1574.518659
576	1574.185543
577	1573.788624
578	1573.26797
579	1572.857073
580	1572.360719
581	1571.973023
582	1571.408486
583	1570.99096
584	1570.549637
585	1570.200633
586	1569.687149
587	1569.315009
588	1568.939196
589	1568.551174
590	1568.08987
591	1567.712522
592	1567.267759
593	1566.912962
594	1566.501281
595	1566.134877
596	1565.686618
597	1565.297374
598	1564.853552
599	1564.414663
600	1563.879153
601	1563.448853
602	1563.042412
603	1562.636178
604	1562.357795
605	1561.959908
606	1561.619723
607	1561.220598
608	1560.840959
609	1560.45586
610	1560.130398
611	1559.800213
612	1559.354809
613	1559.015313
614	1558.609202
615	1558.280864
616	1557.919641
617	1557.471662
618	1557.124573
619	1556.682192
620	1556.065673
621	1555.702285
622	1555.125371
623	1554.75998
624	1554.381672
625	1553.921089
626	1553.409113
627	1553.00361
628	1552.582472
629	1552.138942
630	1551.759167
631	1551.346861
632	1550.868282
633	1550.430451
634	1550.078889
635	1549.744116
636	1549.347259
637	1549.020391
638	1548.64113
639	1548.304798
640	1547.791023
641	1547.418344
642	1547.023883
643	1546.539748
644	1546.119334
645	1545.694187
646	1545.384017
647	1544.919798
648	1544.485403
649	1544.16185
650	1543.850193
651	1543.581371
652	1543.141649
653	1542.798964
654	1542.296566
655	1541.827792
656	1541.489672
657	1541.201822
658	1540.809862
659	1540.449896
660	1539.909025
661	1539.557003
662	1539.150706
663	1538.867044
664	1538.442398
665	1537.976094
666	1537.542571
667	1537.050948
668	1536.712137
669	1536.3354
670	1535.954142
671	1535.577002
672	1535.053149
673	1534.742231
674	1534.371634
675	1534.051306
676	1533.580849
677	1533.002864
678	1532.485707
679	1532.145832
680	1531.645753
681	1531.324805
682	1530.863444
683	1530.557348
684	1530.240277
685	1529.860519
686	1529.496806
687	1529.233795
688	1528.846027
689	1528.496591
690	1527.973903
691	1527.697782
692	1527.310788
693	1526.85164
694	1526.374325
695	1526.009128
696	1525.701676
697	1525.229927
698	1524.815305
699	1524.394225
700	1523.918644
701	1523.583411
702	1523.135266
703	1522.844105
704	1522.398481
705	1521.973895
706	1521.572907
707	1521.225275
708	1520.774804
