iter	Passed	Remaining
0	11	11510
1	22	11361
2	33	11085
3	44	11012
4	55	11088
5	65	10913
6	75	10725
7	84	10533
8	94	10387
9	103	10256
10	113	10169
11	122	10050
12	131	9986
13	141	9958
14	150	9907
15	159	9819
16	168	9760
17	177	9683
18	186	9645
19	195	9587
20	204	9528
21	213	9494
22	222	9450
23	231	9416
24	240	9393
25	249	9354
26	258	9323
27	267	9288
28	276	9257
29	284	9205
30	292	9152
31	300	9104
32	308	9052
33	316	9005
34	325	8969
35	333	8937
36	342	8903
37	350	8872
38	358	8834
39	366	8804
40	374	8767
41	383	8747
42	391	8721
43	399	8687
44	408	8665
45	416	8635
46	424	8611
47	432	8584
48	441	8566
49	449	8540
50	457	8516
51	465	8491
52	474	8476
53	482	8452
54	490	8427
55	498	8399
56	506	8379
57	513	8347
58	522	8330
59	530	8311
60	538	8289
61	546	8271
62	554	8250
63	562	8232
64	570	8209
65	579	8195
66	586	8171
67	594	8152
68	603	8141
69	611	8118
70	618	8098
71	626	8078
72	634	8056
73	642	8044
74	652	8041
75	660	8025
76	668	8013
77	677	8010
78	686	8002
79	694	7987
80	703	7978
81	712	7971
82	720	7958
83	729	7955
84	738	7947
85	747	7942
86	756	7935
87	765	7929
88	773	7920
89	782	7913
90	791	7904
91	799	7894
92	809	7895
93	817	7882
94	826	7876
95	835	7868
96	843	7855
97	851	7841
98	859	7822
99	867	7810
100	875	7790
101	883	7779
102	891	7765
103	899	7752
104	908	7742
105	919	7752
106	928	7747
107	937	7746
108	946	7739
109	955	7734
110	964	7726
111	973	7721
112	982	7710
113	991	7702
114	999	7695
115	1009	7689
116	1017	7676
117	1025	7664
118	1050	7776
119	1059	7772
120	1067	7758
121	1076	7746
122	1084	7731
123	1092	7719
124	1103	7721
125	1112	7715
126	1120	7702
127	1129	7691
128	1136	7676
129	1145	7664
130	1153	7650
131	1162	7642
132	1171	7634
133	1179	7623
134	1187	7608
135	1195	7595
136	1203	7581
137	1211	7564
138	1218	7550
139	1226	7534
140	1234	7520
141	1242	7504
142	1249	7490
143	1257	7475
144	1265	7462
145	1273	7448
146	1281	7436
147	1290	7426
148	1298	7415
149	1305	7400
150	1313	7386
151	1321	7373
152	1329	7358
153	1336	7343
154	1344	7329
155	1352	7317
156	1360	7303
157	1368	7291
158	1376	7279
159	1384	7266
160	1391	7252
161	1399	7240
162	1407	7228
163	1415	7216
164	1423	7202
165	1431	7189
166	1439	7177
167	1446	7165
168	1454	7154
169	1462	7142
170	1471	7133
171	1479	7121
172	1487	7108
173	1494	7096
174	1502	7085
175	1510	7071
176	1518	7060
177	1526	7048
178	1534	7038
179	1542	7027
180	1550	7015
181	1558	7002
182	1565	6990
183	1573	6977
184	1581	6966
185	1589	6954
186	1596	6943
187	1604	6930
188	1612	6919
189	1620	6907
190	1628	6897
191	1636	6886
192	1644	6876
193	1652	6865
194	1660	6856
195	1669	6848
196	1677	6838
197	1685	6827
198	1693	6816
199	1701	6805
200	1708	6793
201	1716	6781
202	1724	6769
203	1732	6758
204	1739	6747
205	1747	6736
206	1755	6724
207	1764	6717
208	1772	6707
209	1780	6696
210	1787	6685
211	1795	6674
212	1803	6663
213	1811	6651
214	1818	6641
215	1826	6629
216	1834	6618
217	1842	6608
218	1849	6597
219	1857	6585
220	1865	6576
221	1873	6564
222	1880	6553
223	1889	6544
224	1897	6534
225	1904	6523
226	1913	6514
227	1921	6505
228	1929	6496
229	1937	6486
230	1945	6477
231	1953	6468
232	1962	6459
233	1970	6451
234	1979	6442
235	1987	6433
236	1995	6424
237	2003	6415
238	2011	6405
239	2019	6395
240	2027	6386
241	2035	6376
242	2043	6366
243	2051	6356
244	2059	6346
245	2067	6336
246	2075	6325
247	2083	6316
248	2091	6307
249	2099	6297
250	2108	6290
251	2116	6282
252	2124	6272
253	2132	6263
254	2140	6253
255	2148	6243
256	2156	6235
257	2165	6227
258	2173	6219
259	2182	6212
260	2190	6202
261	2199	6194
262	2207	6185
263	2215	6176
264	2223	6167
265	2231	6158
266	2240	6149
267	2247	6139
268	2256	6132
269	2264	6122
270	2273	6115
271	2281	6106
272	2290	6098
273	2299	6091
274	2307	6083
275	2315	6073
276	2323	6063
277	2331	6054
278	2339	6045
279	2347	6035
280	2355	6026
281	2363	6017
282	2371	6008
283	2379	5999
284	2388	5992
285	2397	5985
286	2406	5978
287	2415	5971
288	2423	5962
289	2431	5953
290	2439	5943
291	2447	5933
292	2455	5925
293	2463	5916
294	2471	5906
295	2479	5897
296	2487	5888
297	2496	5880
298	2503	5870
299	2512	5861
300	2520	5853
301	2528	5844
302	2536	5835
303	2544	5826
304	2552	5816
305	2560	5808
306	2569	5800
307	2577	5790
308	2585	5781
309	2593	5772
310	2601	5763
311	2609	5755
312	2618	5746
313	2626	5737
314	2634	5729
315	2642	5720
316	2651	5713
317	2661	5708
318	2670	5700
319	2678	5691
320	2687	5683
321	2695	5675
322	2703	5667
323	2711	5658
324	2719	5649
325	2738	5661
326	2745	5651
327	2753	5641
328	2761	5631
329	2769	5622
330	2776	5612
331	2784	5603
332	2792	5593
333	2800	5584
334	2808	5576
335	2816	5566
336	2825	5557
337	2833	5549
338	2841	5540
339	2849	5532
340	2858	5523
341	2866	5514
342	2874	5505
343	2882	5496
344	2890	5487
345	2899	5480
346	2908	5473
347	2916	5464
348	2925	5456
349	2933	5447
350	2941	5439
351	2949	5430
352	2958	5422
353	2966	5413
354	2975	5405
355	2983	5397
356	3003	5409
357	3011	5400
358	3019	5391
359	3027	5382
360	3035	5373
361	3044	5365
362	3052	5357
363	3061	5349
364	3069	5340
365	3078	5333
366	3086	5324
367	3095	5315
368	3103	5306
369	3111	5297
370	3119	5288
371	3127	5279
372	3135	5270
373	3143	5261
374	3152	5253
375	3160	5245
